pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,category,rsi_period,oversold,overbought,tp_type,sl_type,session_filter,has_htf_filter,has_vola_filter,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork,pair_tf,pf_capped
1.8276,70.83,0.51,0.0,1.67,8512.5,24,1,7,0.0696,0.7526,rsi_reversal_dea8e67b,USDJPY,M5,mean_reversion,7,20,80,fixed,fixed,all,True,True,False,60,141.9,0.15,0.93,0.59,11,6,7,USDJPY_M5,1.8276
0.5594,14.29,0.25,0.0,-0.19,2400.0,7,3,1,-0.027,3.3566,rsi_reversal_c1d35d3e,USDJPY,M5,mean_reversion,7,20,80,atr_mult,fixed,london,True,False,False,0,40.0,0.0,-0.19,0.0,0,7,0,USDJPY_M5,0.5594
0.7724,43.96,5.08,0.01,-4.42,3930.4,207,8,6,-0.0214,0.9846,rsi_reversal_72b3f2b7,USDJPY,M5,mean_reversion,14,35,65,atr_mult,fixed,london_ny,False,True,True,60,65.5,-0.57,-2.62,-1.23,32,99,76,USDJPY_M5,0.7724
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_8ed2845e,USDJPY,M5,mean_reversion,18,20,80,fixed,atr_mult,all,True,True,True,0,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_827f00dd,USDJPY,M5,mean_reversion,21,20,80,fixed,atr_mult,newyork,True,False,True,120,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
0.6898,26.37,11.66,0.01,-11.08,2823.3,421,26,4,-0.0263,1.9264,rsi_reversal_4a00e7a8,USDJPY,M5,mean_reversion,7,35,65,fixed,atr_mult,london_ny,False,False,False,120,47.1,-3.22,-5.86,-2.01,73,200,148,USDJPY_M5,0.6898
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_399a57fd,USDJPY,M5,mean_reversion,21,20,80,fixed,atr_mult,newyork,False,True,True,0,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
inf,100.0,0.0,0.0,0.34,4800.0,2,0,2,0.1685,0.0,rsi_reversal_51620aa6,USDJPY,M5,mean_reversion,14,25,75,atr_mult,fixed,tokyo,True,False,False,0,80.0,0.34,0.0,0.0,2,0,0,USDJPY_M5,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_2924612b,USDJPY,M5,mean_reversion,18,20,80,fixed,fixed,tokyo,True,False,True,0,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_dc8b2d3b,USDJPY,M5,mean_reversion,14,20,80,atr_mult,fixed,all,True,True,False,60,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
