pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
1.0205,59.16,3.66,0.0,0.44,375.3,404,7,14,0.0011,0.7045,hilo_break_8e35ddab,EURJPY,hilo_break,A×3.0,A×1.5,newyork,False,True,False,30,,,6.3,15.0,1.0,,
1.0175,57.35,1.22,0.0,0.07,283.2,68,4,5,0.001,0.7566,hilo_break_a828ba85,GBPJPY,hilo_break,A×3.0,A×1.5,newyork,False,True,True,0,,,4.7,10.0,2.0,,
1.017,36.22,3.65,0.0,0.55,562.7,381,10,5,0.0014,1.7908,hilo_break_b4433e38,GBPJPY,hilo_break,A×3.0,A×1.5,london,True,False,True,0,,,9.4,5.0,1.0,,
1.0154,45.96,3.66,0.0,0.29,261.1,396,8,7,0.0007,1.1939,bb_bounce_b85e5221,EURJPY,bb_bounce,A×2.5,A×1.0,london,True,True,True,60,,,4.4,,,20.0,2.0
1.0144,39.94,2.18,0.0,0.25,227.6,348,15,6,0.0007,1.5253,atr_break_8bdde451,EURJPY,atr_break,A×2.5,A×1.0,london,False,False,True,120,5.0,0.8,3.8,,,,
1.0128,52.22,1.88,0.0,0.07,345.3,90,5,5,0.0007,0.9266,bb_bounce_cf2b95a6,EURJPY,bb_bounce,A×3.0,A×1.5,london,True,True,False,120,,,5.8,,,20.0,2.5
1.0062,21.74,4.22,0.0,0.14,1877.1,161,18,3,0.0009,3.6223,hilo_break_62e0d539,EURJPY,hilo_break,A×5.0,A×1.5,newyork,True,False,False,120,,,31.3,15.0,1.0,,
1.0061,55.45,3.73,0.0,0.12,294.4,330,6,8,0.0004,0.8082,hilo_break_06777e6c,GBPJPY,hilo_break,A×6.0,A×1.5,london,False,True,True,30,,,4.9,25.0,1.0,,
1.0056,20.56,5.47,0.01,0.16,764.1,321,16,4,0.0005,3.8854,atr_break_17efff84,EURJPY,atr_break,A×3.0,A×1.0,newyork,False,False,False,120,20.0,0.8,12.7,,,,
1.004,49.74,1.69,0.0,0.03,319.1,195,6,8,0.0002,1.0144,atr_break_bb67ce53,USDJPY,atr_break,A×5.0,A×2.0,london,True,False,True,30,10.0,0.8,5.3,,,,
1.0016,46.64,3.11,0.0,0.02,403.2,253,12,12,0.0001,1.1459,hilo_break_67613267,EURJPY,hilo_break,A×5.0,A×1.5,newyork,True,False,True,60,,,6.7,10.0,1.0,,
1.0013,35.79,6.73,0.01,0.07,654.7,623,13,5,0.0001,1.796,bb_bounce_a262a48d,EURJPY,bb_bounce,A×4.0,A×1.5,newyork,True,False,True,60,,,10.9,,,30.0,1.5
1.0005,36.92,2.63,0.0,0.0,470.8,65,8,4,0.0,1.7091,bb_bounce_71666502,GBPJPY,bb_bounce,A×3.0,A×1.5,newyork,True,False,True,30,,,7.8,,,20.0,2.5
1.0003,45.97,3.17,0.0,0.0,439.8,248,12,8,0.0,1.1758,bb_bounce_5676647e,USDJPY,bb_bounce,A×3.0,A×1.5,newyork,False,False,True,120,,,7.3,,,25.0,2.5
