,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT
2024-02-14 00:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-14 01:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-14 02:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-14 03:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-14 04:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-14 05:00:00+00:00,40.89798315832848,20.496940642189234,30.982355498208808,25.98228940397973,21.304315582323756
2024-02-14 06:00:00+00:00,40.89798315832848,20.47552620480875,30.92080084182406,25.98228940397973,21.304315582323756
2024-02-14 07:00:00+00:00,40.89798315832848,20.491741638102084,30.922019357477257,25.98228940397973,21.304315582323756
2024-02-14 08:00:00+00:00,40.89798315832848,20.511399293643542,30.865145176496288,25.98228940397973,21.304315582323756
2024-02-14 09:00:00+00:00,40.89798315832848,20.473516713193188,30.63415694775284,25.98228940397973,21.304315582323756
2024-02-14 10:00:00+00:00,40.89798315832848,20.464121428958276,30.525290281181068,25.98228940397973,21.304315582323756
2024-02-14 11:00:00+00:00,40.89798315832848,20.54516853093253,30.525290281181068,25.98228940397973,21.304315582323756
2024-02-14 12:00:00+00:00,40.89798315832848,20.463843924680184,30.493398598970614,25.98228940397973,21.304315582323756
2024-02-14 13:00:00+00:00,40.89798315832848,20.463843924680184,30.130987282953182,25.98228940397973,21.304315582323756
2024-02-14 14:00:00+00:00,40.89798315832848,20.463843924680184,29.952000495111704,25.98228940397973,21.304315582323756
2024-02-14 15:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-14 16:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-14 17:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-14 18:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-14 19:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-14 20:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
