pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.2368,28.95,23.14,0.02,-22.81,1441.1,114,momentum_3967e139,USDJPY,M1
0.1146,11.29,16.84,0.02,-16.19,1508.7,62,momentum_44a50e6c,USDJPY,M1
0.2738,24.59,11.91,0.01,-11.64,1772.5,61,momentum_490863a0,USDJPY,M1
0.1455,14.0,19.65,0.02,-19.65,771.0,100,momentum_5100332c,USDJPY,M1
0.1089,8.33,20.94,0.02,-20.45,473.8,96,momentum_6a62b07c,USDJPY,M1
0.1352,13.79,15.92,0.02,-15.19,1633.4,58,momentum_7279aa16,USDJPY,M1
0.1609,16.0,13.12,0.01,-12.39,1604.4,50,momentum_d74757dc,USDJPY,M1
0.2256,50.0,9.79,0.01,-9.79,2234.4,54,momentum_dc40cb70,USDJPY,M1
0.0314,12.23,63.17,0.06,-63.15,557.1,278,rsi_reversal_1267fc98,USDJPY,M1
0.0,0.0,5.57,0.01,-5.57,313.6,22,rsi_reversal_2673622a,USDJPY,M1
0.1459,44.63,25.89,0.03,-25.89,1726.6,121,rsi_reversal_3cc77779,USDJPY,M1
0.0711,25.0,8.29,0.01,-8.29,740.0,36,rsi_reversal_5999e02d,USDJPY,M1
0.0433,22.22,11.64,0.01,-11.64,784.0,45,rsi_reversal_76543b15,USDJPY,M1
0.1524,47.83,9.08,0.01,-9.04,1768.7,46,rsi_reversal_7a08475b,USDJPY,M1
0.1243,41.43,16.71,0.02,-16.67,1745.1,70,rsi_reversal_8c7c3c1f,USDJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a73f69c6,USDJPY,M1
0.0166,13.45,66.36,0.07,-66.32,950.5,290,rsi_reversal_da6a2ac4,USDJPY,M1
0.0,0.0,1.01,0.0,-1.01,480.0,2,rsi_reversal_ea79811e,USDJPY,M1
0.0,0.0,1.01,0.0,-1.01,480.0,2,rsi_reversal_f39ae529,USDJPY,M1
0.0875,42.42,8.95,0.01,-8.72,1583.6,33,rsi_reversal_f8f5d99f,USDJPY,M1
0.1511,49.43,18.36,0.02,-18.33,2049.7,87,rsi_trend_08bc1cb9,USDJPY,M1
0.1668,44.79,20.49,0.02,-20.49,1814.4,96,rsi_trend_0a63e580,USDJPY,M1
0.1322,42.62,13.96,0.01,-13.96,1859.0,61,rsi_trend_4e8ecd2c,USDJPY,M1
0.1174,44.33,22.21,0.02,-22.18,1779.6,97,rsi_trend_5d31b21a,USDJPY,M1
0.1809,47.83,18.52,0.02,-18.52,1970.9,92,rsi_trend_65d1a53d,USDJPY,M1
